h_geocode,w_geocode,total_jobs,origin_loc_lat,origin_loc_lon,dest_loc_lat,dest_loc_lon,origin_geom,dest_geom
470650112033,470650113214,38,35.00564931805232,-85.05276256397683,35.00195255960541,-85.05486735558114,POINT (-85.05276256397683 35.00564931805232),POINT (-85.05486735558114 35.00195255960541)
470650114475,470650114451,26,35.115935750020256,-85.11318749999286,35.07298434199458,-85.0896939123471,POINT (-85.11318749999286 35.115935750020256),POINT (-85.0896939123471 35.07298434199458)
470650114483,470650024003,2,35.053180336887245,-85.15299687905201,35.103963310609046,-85.19241193900886,POINT (-85.15299687905201 35.053180336887245),POINT (-85.19241193900886 35.103963310609046)
470650110043,470650114451,49,35.14701998118657,-85.37702500746178,35.17084213822769,-85.38711631630507,POINT (-85.37702500746178 35.14701998118657),POINT (-85.38711631630507 35.17084213822769)
470650101032,470650114462,48,35.21750554851954,-85.05427781321548,35.27288841206564,-85.04603238947605,POINT (-85.05427781321548 35.21750554851954),POINT (-85.04603238947605 35.27288841206564)
470650113141,470650112032,43,35.04139271337436,-85.10751257723447,35.04606230715221,-85.10693316976568,POINT (-85.10751257723447 35.04139271337436),POINT (-85.10693316976568 35.04606230715221)
470650113254,470650104324,91,34.990363307393096,-85.12013218049088,34.9800499660354,-85.15192731112846,POINT (-85.12013218049088 34.990363307393096),POINT (-85.15192731112846 34.9800499660354)
470650114441,470650114021,44,35.05529733059342,-85.21803465717514,35.03755088043417,-85.21637380756856,POINT (-85.21803465717514 35.05529733059342),POINT (-85.21637380756856 35.03755088043417)
470650026001,470650124003,73,35.02226731750262,-85.27716406865048,34.98476585783209,-85.22643416307258,POINT (-85.27716406865048 35.02226731750262),POINT (-85.22643416307258 34.98476585783209)
470650004001,470650124003,48,35.04370482945377,-85.26842200906276,35.071952598260765,-85.22612237219617,POINT (-85.26842200906276 35.04370482945377),POINT (-85.22612237219617 35.071952598260765)
