h_geocode,w_geocode,total_jobs,origin_loc_lat,origin_loc_lon,dest_loc_lat,dest_loc_lon,origin_geom,dest_geom
470650103081,470650034001,54,35.2358078034422,-85.20252591663227,35.20720655306287,-85.20659362975714,POINT (-85.20252591663227 35.2358078034422),POINT (-85.20659362975714 35.20720655306287)
470650102011,470650117004,94,35.315719858319866,-85.13166338650046,35.320565472262196,-85.18631758119695,POINT (-85.13166338650046 35.315719858319866),POINT (-85.18631758119695 35.320565472262196)
470650104132,470650109011,61,35.19870837436332,-85.15789334629349,35.20343674679819,-85.1813964686231,POINT (-85.15789334629349 35.19870837436332),POINT (-85.1813964686231 35.20343674679819)
470650014001,470650031002,73,35.03184028354729,-85.29040025376509,35.03646276133148,-85.24337556250167,POINT (-85.29040025376509 35.03184028354729),POINT (-85.24337556250167 35.03646276133148)
470650103063,470650114482,94,35.246269713485766,-85.17316600629013,35.30077634682735,-85.22992131617089,POINT (-85.17316600629013 35.246269713485766),POINT (-85.22992131617089 35.30077634682735)
470650114421,470650123003,64,34.98746247253531,-85.19142930174816,35.018683473631185,-85.12264885861634,POINT (-85.19142930174816 34.98746247253531),POINT (-85.12264885861634 35.018683473631185)
470650019001,470650025002,61,35.00829208152497,-85.31285400416422,34.97967504742171,-85.3454701848248,POINT (-85.31285400416422 35.00829208152497),POINT (-85.3454701848248 34.97967504742171)
470650113261,470650031001,65,35.00158664724818,-85.15612488665604,35.01087621813383,-85.13449628650734,POINT (-85.15612488665604 35.00158664724818),POINT (-85.13449628650734 35.01087621813383)
470650122001,470650008001,25,35.05115336803464,-85.25896584070397,35.05662796836611,-85.27518318611665,POINT (-85.25896584070397 35.05115336803464),POINT (-85.27518318611665 35.05662796836611)
470650007004,470650113254,24,35.08030650000643,-85.30314350000069,35.0648335171116,-85.27240381774568,POINT (-85.30314350000069 35.08030650000643),POINT (-85.27240381774568 35.0648335171116)
470650103081,470650014001,80,35.23694774070093,-85.2004996556491,35.27362598971333,-85.2026651694778,POINT (-85.2004996556491 35.23694774070093),POINT (-85.2026651694778 35.27362598971333)
470650114475,470650121003,1,35.115804349979584,-85.11545245001216,35.106324154893684,-85.18219416620644,POINT (-85.11545245001216 35.115804349979584),POINT (-85.18219416620644 35.106324154893684)
470650008001,470659802001,86,35.06832105826103,-85.31271527414663,35.129234746319945,-85.36101221104931,POINT (-85.31271527414663 35.06832105826103),POINT (-85.36101221104931 35.129234746319945)
470650013001,470650113211,31,35.02638268989587,-85.275686942271,35.029588204554074,-85.31652231922412,POINT (-85.275686942271 35.02638268989587),POINT (-85.31652231922412 35.029588204554074)
470650104324,470650114111,70,35.11087673394628,-85.21267989913609,35.07270921975701,-85.15647228338709,POINT (-85.21267989913609 35.11087673394628),POINT (-85.15647228338709 35.07270921975701)
470650113261,470650033001,83,35.00234013831002,-85.15536655632732,34.96576266648147,-85.1763753407237,POINT (-85.15536655632732 35.00234013831002),POINT (-85.1763753407237 34.96576266648147)
470650114472,470650114472,45,35.086434284865184,-85.08915103462802,35.06073217718448,-85.07548151640927,POINT (-85.08915103462802 35.086434284865184),POINT (-85.07548151640927 35.06073217718448)
470650113111,470650112032,33,35.04947812012197,-85.1233438468396,35.06480644935179,-85.1493079323052,POINT (-85.1233438468396 35.04947812012197),POINT (-85.1493079323052 35.06480644935179)
470650114134,470650008001,40,35.12452030026029,-85.16785715766737,35.151148480386304,-85.15436423103837,POINT (-85.16785715766737 35.12452030026029),POINT (-85.15436423103837 35.151148480386304)
470650111001,470650104311,82,35.142555927541345,-85.34110335842293,35.092879901061295,-85.36098662211424,POINT (-85.34110335842293 35.142555927541345),POINT (-85.36098662211424 35.092879901061295)
470650114442,470650013002,72,35.0500710932438,-85.22704265582976,35.06519772645976,-85.2097752534478,POINT (-85.22704265582976 35.0500710932438),POINT (-85.2097752534478 35.06519772645976)
470650105015,470650004002,50,35.1165983172991,-85.27697089875032,35.092090404800864,-85.34709091878942,POINT (-85.27697089875032 35.1165983172991),POINT (-85.34709091878942 35.092090404800864)
470650114472,470650114451,79,35.082395156605145,-85.09614174085233,35.06780947658794,-85.09003354896954,POINT (-85.09614174085233 35.082395156605145),POINT (-85.09003354896954 35.06780947658794)
470650113111,470650113113,6,35.048566484021215,-85.11797491796848,35.050378641001906,-85.2141882112715,POINT (-85.11797491796848 35.048566484021215),POINT (-85.2141882112715 35.050378641001906)
470650105023,470650104326,35,35.09423665158966,-85.27148903834524,35.07402514334099,-85.23211606576045,POINT (-85.27148903834524 35.09423665158966),POINT (-85.23211606576045 35.07402514334099)
470650109042,470650031001,52,35.10598887433197,-85.32334266840267,35.127201021285046,-85.3281657814455,POINT (-85.32334266840267 35.10598887433197),POINT (-85.3281657814455 35.127201021285046)
470650007003,470650124002,71,35.06977582670048,-85.28970099532528,35.042606223134946,-85.24475104823472,POINT (-85.28970099532528 35.06977582670048),POINT (-85.24475104823472 35.042606223134946)
470650013001,470650019002,81,35.02899440777188,-85.27289530936675,35.0020038916637,-85.25170764951692,POINT (-85.27289530936675 35.02899440777188),POINT (-85.25170764951692 35.0020038916637)
